Title,Family,Synonyms,Common Names,Origin,Growth Habit,Earliest Record,Tool Used For Assessment,Predictive Tool Score,North,Central,South,Assessment Dates,Counties,Questionnaires
Morus alba,Moraceae,,White mulberry,Asia Temperate,"Shrub, Tree",1937,Status Assessment,N/A,Not a problem species (documented),Not a problem species (documented),Not a problem species (documented),"Jan 1, 2007Jul 6, 2017",21,
Mucuna pruriens,Fabaceae,,"Cowitch, Velvetbean","Africa, Asia Tropical","Forb/Herb, Vine",1896,Status Assessment,10,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2007Jan 1, 2012",5,
Murdannia keisak,Commelinaceae,,"Marsh dewflower, wartremoving herb","Asia Temperate, Asia Tropical",Forb/Herb,1964,Status Assessment,N/A,Not a problem species (documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,8,
Murraya paniculata,Rutaceae,,Orange-jessamine,Asia Tropical,"Shrub, Tree",1929,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2004May 21, 2015",3,
Musa acuminata,Musaceae,,"Banana, dwarf banana, edible banana","Asia Temperate, Asia Tropical","Forb/Herb, Shrub, Subshrub, Tree",1972,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 19, 2017",5,
Musa x paradisiaca,Musaceae,,"Common banana, French plantain",Unknown,"Forb/Herb, Shrub, Subshrub, Tree",1960,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 19, 2017",14,
Myrciaria cauliflora,Myrtaceae,Plinia cauliflora,Jaboticaba,South America,"Shrub, Tree",1938,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 21, 2015",0,
Myriophyllum aquaticum ,Haloragaceae,Myriophyllum brasiliense,"Parrot feather watermilfoil, parrot's feather",South America,Aquatic,1918,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012",30,
Myriophyllum spicatum,Haloragaceae,,Eurasian water-milfoil,"Africa, Asia Temperate, Asia Tropical, Europe",Aquatic,1964,,N/A,Prohibited,Prohibited,Prohibited,,6,
Myrtus communis,Myrtaceae,,"Common myrtle, myrtle","Africa, Asia Temperate, Asia Tropical, Europe","Shrub, Tree",1929,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 21, 2015",0,
Nandina domestica,Berberidaceae,,"Heavenly Bamboo, Nandina",Asia Temperate,Shrub,1929,Status Assessment,N/A,Invasive,Invasive,Caution,"Jan 1, 2005Jan 1, 2011",9,
Nandina domestica cv Firepower,Berberidaceae,,Firepower Nandina,Unknown,Shrub,,Infraspecific Taxon Protocol,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-08,0,
Nandina domestica cv Gulf Stream,Berberidaceae,,Gulf Stream Nandina,Unknown,Shrub,,Infraspecific Taxon Protocol,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-10,0,
Nandina domestica cv Harbour Dwarf,Berberidaceae,,Harbour Dwarf Nandina,Unknown,Shrub,,Infraspecific Taxon Protocol,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-09,0,
Nandina domestica cv Jaytee Harbour Belle,Berberidaceae,,Harbour Belle Nandina,Unknown,Shrub,,Infraspecific Taxon Protocol,N/A,Invasive,Invasive,Invasive,1-Jan-10,0,
Nassella tenuissima,Poaceae,"Stipa tenuissima Trin., Stipa cirrosa E. Fourn., Stipa geniculata Phil., Stipa mendocina Phil., Stipa oreophila Speg., Stipa subulata E. Fourn.",Mexican Feather Grass,"North America-Mexico, South America",Graminoid,,Predictive Tool,21,High Invasion Risk,High Invasion Risk,High Invasion Risk,10-Oct-18,0,
Nassella trichotoma,Poaceae,Stipa trichotoma,"Serrated tussock grass, nassella tussock",South America,Graminoid,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Nechamandra alternifolia,Hydrocharitaceae,,Nechamandra,Asia Tropical,Aquatic,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Nephrolepis brownii,Nephrolepidaceae,"Nephrolepis multiflora, Nephrolepis hirsutula",Asian sword fern,"Asia Temperate, Asia Tropical, Australasia, Pacific",Forb/Herb,1953,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Invasive (No Uses),1-Jan-06,20,
Nephrolepis cordifolia,Nephrolepidaceae,,"Narrow sword fern, sword fern, tuberous sword fern",Unknown,Forb/Herb,1919,Status Assessment,N/A,Invasive (No Uses),Invasive (No Uses),Invasive (No Uses),"Jan 1, 2003Jan 1, 2012Jan 25, 2019",32,
Nerium oleander,Apocynaceae,,Oleander,"Africa, Asia Temperate, Asia Tropical, Europe","Shrub, Tree",,,N/A,,,,,12,
Neyraudia reynaudiana,Poaceae,,"Burma reed, cane grass","Asia Temperate, Asia Tropical",Graminoid,1925,,N/A,Prohibited,Prohibited,Prohibited,,4,
Noronhia emarginata,Oleaceae,,Madagascar olive,Africa,"Shrub, Tree",1942,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 21, 2015",2,
Nymphoides cristata,Menyanthaceae,,"Crested floatingheart, white snowflake","Asia Temperate, Asia Tropical",Aquatic,1996,,N/A,Prohibited,Prohibited,Prohibited,"Jan 1, 2006Jan 1, 2011Jul 9, 2014",9,
Nymphoides indica,Menyanthaceae,,Water snowflake,"Africa, Asia Temperate, Asia Tropical, Australasia, Central America, North America-Mexico, South America",Aquatic,1983,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2007Jan 1, 2017",2,
Nymphoides peltata,Menyanthaceae,,yellow floating heart,"Asia Temperate, Asia Tropical, Europe",Aquatic,2012,,N/A,Prohibited,Prohibited,Prohibited,9-Jul-14,1,
Ochrosia elliptica,Apocynaceae,Ochrosia parviflora,"Elliptic Yellowwood, Ochrosia","Australasia, Pacific","Shrub, Tree",1927,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Caution,"Jan 1, 2007Jan 1, 2012",4,
Oeceoclades maculata,Orchidaceae,,"African ground orchid, monk orchid",Unknown,Forb/Herb,1975,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012",18,
Ophiopogon japonicus,Asparagaceae,,"Dwarf lilyturf, dwarf liriopoe, mondo-grass","Asia Temperate, Asia Tropical",Forb/Herb,2007,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 21, 2015",0,
Opuntia aurantiaca,Cactaceae,,"Jointed cactus, jointed prickly pear, tiger pear",South America,Unknown,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Opuntia cochenillifera,Cactaceae,Nopalea cochenillifera,"Cochineal cactus, cochineal nopal cactus",Unknown,"Shrub, Tree",1951,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 1, 2017",7,
Opuntia ficus-indica,Cactaceae,,"Barbary fig, spineless cactus, tuna cactus",Unknown,"Shrub, Tree",1974,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 1, 2017",3,
Oryza longistaminata,Poaceae,,Red rice,Africa,Graminoid,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Oryza punctata,Poaceae,,Red rice,Africa,Graminoid,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Oryza rufipogon,Poaceae,Oryza perennis,"Wild red rice, brownbeard rice","Asia Temperate, Asia Tropical, Australasia",Graminoid,1961,,N/A,Prohibited,Prohibited,Prohibited,,1,
Osmanthus fortunei,Oleaceae,,Fortune's osmanthus,Unknown,"Shrub, Tree",,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 30, 2017",0,
Osmanthus fragrans,Oleaceae,,Sweet osmanthus,"Asia Temperate, Asia Tropical","Shrub, Tree",1969,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 21, 2015",0,
Ottelia alismoides,Hydrocharitaceae,,Ducklettuce,"Asia Tropical, Australasia, Pacific","Aquatic, Forb/Herb",2005,,20,High Invasion Risk,High Invasion Risk,High Invasion Risk,,1,
Paederia cruddasiana,Rubiaceae,,"Onion vine, sewer vine","Asia Temperate, Asia Tropical, Europe",Vine,1962,,2,Evaluate Further,Evaluate Further,Evaluate Further,,2,
Paederia foetida,Rubiaceae,,Skunk vine,"Asia Temperate, Asia Tropical","Shrub, Vine",1958,,19,High Invasion Risk,High Invasion Risk,High Invasion Risk,,24,
Panicum miliaceum,Poaceae,,Broomcorn millet,Asia Temperate,Graminoid,1963,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2007Jan 1, 2017",13,
Panicum repens,Poaceae,,Torpedograss,"Africa, Asia Temperate, Asia Tropical, Europe",Graminoid,1920,Status Assessment,N/A,Invasive (No Uses),Invasive (No Uses),Invasive (No Uses),"Jan 1, 2003Jun 29, 2016",53,
Parkinsonia aculeata,Fabaceae,,"Jerusalem thorn, Mexican palo verde, retama","Central America, North America-Mexico, South America","Shrub, Tree",,Predictive Tool,19,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2005Jan 1, 2008",12,
Parthenium hysterophorus,Asteraceae,,"Santa Maria feverfew, false ragweed","North America-Mexico, South America",Forb/Herb,,,N/A,,,,,0,
Paspalum notatum,Poaceae,,Bahiagrass,"Central America, North America-Mexico, South America",Graminoid,1922,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2003Jan 1, 2012May 1, 2015",23,
Paspalum quadrifarium,Poaceae,"Panicum lagascae var. quadrifarium, Paspalum eruciferum, Paspalum ferrugineum, Paspalum variegatum","tussock paspalum, crown grass",South America,Graminoid,,Predictive Tool,19,High Invasion Risk,High Invasion Risk,High Invasion Risk,15-Oct-18,0,
Paspalum scrobiculatum,Poaceae,"Paspalum orbiculare,","Kodomillet, creeping paspalum, ditch millet","Africa, Asia Temperate, Asia Tropical, Australasia, Pacific",Graminoid,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Paspalum urvillei,Poaceae,Paspalum larranagai,"Vaseygrass, Vasey's grass",South America,Graminoid,1946,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 1, 2017",59,
Passiflora x belotii,Passifloraceae,Passiflora altocaerulea,No common name reported,Unknown,"Forb/Herb, Vine",1953,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2007Jan 1, 2017",4,
Passiflora biflora,Passifloraceae,,Twin-flowered passion vine,"Central America, North America-Mexico, South America",Vine,1942,Status Assessment,5,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2004Jan 7, 2015",3,
Passiflora coccinea,Passifloraceae,,"Passion vine, red passion flower, scarlet passionflower",South America,Vine,1964,Status Assessment,-1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2007Jan 1, 2017",0,
Passiflora coriacea,Passifloraceae,Passiflora sexocellata,Bat-leaved passion flower,"Central America, North America-Mexico, South America",Vine,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 1, 2017",0,
Passiflora edulis,Passifloraceae,,"Passionfruit, purple granadilla",South America,Vine,1956,Predictive Tool,9,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012Dec 1, 2015",3,
Passiflora foetida,Passifloraceae,,"Fetid Passionflower, Scarletfruit Passionflower","Central America, North America-Mexico, South America","Forb/Herb, Vine",1936,Predictive Tool,21,Not a problem species (un-documented),Not a problem species (documented),Caution,"Jan 1, 2003Jan 1, 2012",7,
Paulownia elongata,Paulowniaceae,,Elongate Paulownia,Asia Temperate,Tree,,Predictive Tool,6,Evaluate Further,Evaluate Further,Evaluate Further,"Jan 1, 2010Jan 1, 2012",0,
Paulownia fortunei,Scrophulariaceae,,Dragon tree,"Asia Temperate, Asia Tropical",Tree,,Predictive Tool,13,High Invasion Risk,High Invasion Risk,High Invasion Risk,4-Nov-16,0,
Paulownia tomentosa,Paulowniaceae,,"Empress-tree, paulownia, princesstree",Asia Temperate,Tree,,Predictive Tool,14,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2007Jan 1, 2010",2,
Peltophorum pterocarpum,Fabaceae,,"Yellow flame, yellow poinciana","Asia Tropical, Australasia",Tree,1936,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 6, 2016",3,
Pennisetum alopecuroides,Poaceae,,"Australian fountaingrass, Chinese fountain grass","Asia Temperate, Asia Tropical, Australasia",Graminoid,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2003May 21, 2015",0,
Pennisetum clandestinum,Poaceae,Cenchrus clandestinus,"Kikuyu grass, kikuyugrass",Africa,Graminoid,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Pennisetum glaucum,Poaceae,Pennisetum americanum,"American fountaingrass, pearl millet",Unknown,Graminoid,1955,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 1, 2017",25,
Pennisetum macrourum,Poaceae,Pennisetum quartinianum,African feathergrass,"Africa, Asia Temperate",Graminoid,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Pennisetum pedicellatum,Poaceae,,Kyasuma grass,"Africa, Asia Tropical",Graminoid,,,N/A,Prohibited,Prohibited,Prohibited,,2,
Pennisetum polystachion ,Poaceae,,"Missiongrass, thin napiergrass, West Indian pennisetum",Africa,Graminoid,1963,,N/A,Prohibited,Prohibited,Prohibited,,4,
Pennisetum purpureum,Poaceae,Cenchrus purpureus,"Elephantgrass, Napiergrass",Africa,Graminoid,,Predictive Tool,18,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2005Jan 1, 2009",35,
Pennisetum purpureum X Pennisetum glaucum,Poaceae,,Giant King Grass,Unknown,Graminoid,,Predictive Tool,5,Evaluate Further,Evaluate Further,Evaluate Further,1-Jan-12,0,
Pennisetum setaceum,Poaceae,,"Fountaingrass, green fountain grass","Africa, Asia Temperate, Europe",Graminoid,1920,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Not a problem species (un-documented),"Jan 1, 2003Feb 3, 2014",8,
Perilla frutescens,Lamiaceae,,"Beefsteak Plant, Beefsteak mint, Perilla","Asia Temperate, Asia Tropical",Forb/Herb,,Predictive Tool,14,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2012Mar 20, 2014",11,
Petrea volubilis,Verbenaceae,,"Purple wreath, queen's wreath, queenswreath","Central America, North America-Mexico, South America","Shrub, Subshrub, Vine",1939,Status Assessment,1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2007Jan 1, 2017",1,
Phalaris arundinacea,Poaceae,,"reed canarygrass, canary grass, speargrass","Africa, Asia Temperate, Europe, North America-Canada",Graminoid,,Predictive Tool,25,High Invasion Risk,High Invasion Risk,High Invasion Risk,20-Mar-14,0,
Phanera yunnanensis,Fabaceae,Bauhinia yunnanensis,Yunnan bauhinia,"Asia Temperate, Asia Tropical","Shrub, Vine",1972,Predictive Tool,5,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 5, 2015",1,
Philodendron cordatum,Araceae,,Heartleaf philodendron,South America,"Forb/Herb, Vine",,Predictive Tool,1,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 15, 2016",0,
Philodendron hederaceum var hederaceum,Araceae,Philodendron scandens,"Heartleaf philodendron, vilevine","Central America, North America-Mexico, South America","Forb/Herb, Vine",,Status Assessment,1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-05,0,
Philodendron hederaceum var oxycardium,Araceae,Philodendron oxycardium,Heartleaf philodendron,North America-Mexico,"Forb/Herb, Vine",2009,Status Assessment,-1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2006Dec 6, 2016Jun 25, 2018",0,
Phlox drummondii,Polemoniaceae,,"Annual phlox, annual garden flox",North America-Mexico,Forb/Herb,1952,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 6, 2016",42,
Phoenix reclinata,Arecaceae,,Senegal date palm,"Africa, Asia Temperate",Tree,1959,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Invasive,1-Jan-04,14,
Phoenix roebelenii,Arecaceae,,Pygmy date palm,Asia Tropical,Tree,1959,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 1, 2017Jun 25, 2018",0,
Photinia glabra,Rosaceae,,"Japanese photinia, red-leaf photinia, red-top","Asia Temperate, Asia Tropical",Shrub,1987,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 21, 2015",0,
